word;clarification;classification;endіngs;and;look;from;vars;but
Бе́льшчына;;;;;;;;
Беляму́к;;;;;;;;
Бе́мбель;;;;;;;;
Бе́ніца;;;;;;;;
Беняко́ні;;;;;;;;
Бе́няш;;;;;;;;
Беразьве́цкі;;;;;;;;
Беразьве́чча;;;;;;;;
Бе́расьце;;;;;;;;
Берасьце́йшчына;;;;;;;;
Бе́рдыж;;;;;;;;
Бе́рут;;;;;;Bierut;;
Бе́рыя;;;;;;;;
Бе́чык;;;;;;;;
Бешанко́вічы;;;-чаў;;;;;
Бёль;;;;;;Böll;;
Бём;;;;;;Böhm;;
Бжэзі́нскі;;;;;;Brzeziński;;
Бжэ́хва;;;;;;Brzechwa;;
Бібі́ла;;;;;;;;
Бі́блія;;;;;;;;
Бізанты́я;;;;;;;;
Бізэ́;;;;;;Bizet;;
Біл;;;;;;Bill;;
Більдзюке́віч;;;;;;;;
Бі́рдсьлі;;;;;;Beardsley;;
Бі́ржы;;;;;;Biržai;;
Біржы́шка;;;;;;Biržiška;;
Бі́рма;;;;;М’я́нма;;;
Біруко́ў;;;;;;;;
Бі́сэрка;;;;;;;;
Бітлз;;;;;;Beatles;;
Бічэ́ль-Загне́тава;;;;;;;;
Бі-Бі-Сі́;;;;;;BBC;;
Блішчы́нскі;;;;;;;;
Блу́мзбэры;у Лёндане;;;;;Bloomsbury;;
Блэйк;;;;;;Blake;;
Блюм;;;;;;Bloom;;
Блю́мнэр;;;;;;;;
Блю́хер;;;;;;;;
Бог;;;Бо́га;;;;;
Бо́гша;Ла́зар Бо́гша;;;;;;;
Бо́жы;;;;;;;;
Бо́кун;;;;;;;;
Бо́лесь;;;<i>чый:</i> Бо́лесеў;;;;;
Бо́нда;;;;;;;;
бо́ндаўскі;;;;;;Бо́нда;;
Бонфуа́;;;;;;Bonnefoi;;
Бо́ртэншля́ґер;;;;;;Bortenschlager;;
Бо́рхес;;;<i>чый:</i> Бо́рхесаў;;;Borges;;
бо́рхесаўскі;;;;;;Бо́рхес;;
Босх;;;<i>чый:</i> Бо́схаў;;;Bosch;;
бо́схаўскі;;;;;;Босх;;
Бо́сьнія;;;;;;;;
Бо́тліхскі;;;;;;;;
Боўш;;;;;;;;
Бо́ўэн;;;;;;Bowen;;
Бра́гін;;;;;;;;
Бра́гіншчына;;;;;;;;
Бра́ен;;;;;;Brian;;
Бражы́нскас;;;;;;Bražinskas;;
Браза́ўскас;;;;;;Brazauskas;;
Бразо́ўскі;;;;;;;;
Бразы́лія;;;;;;;;
Бра́йтан-Біч;;;;;;Brighton Beach;;
Бракга́ўз;;;;;;;;
Брамс;;;;;;Brahms;;
Бра́ндыс;;;;;;Brandys;;
Брандэнбу́рґ;<i>м.</i> у Нямеччыне;;;;;Brandenburg;;
Бранісла́вавіч;;;;;;;;
Бранісла́вец;;;;;;;;
Бранісла́ў;;;;;;;;
Брані́цкі;;;;;;;;
Бранск;;;;;;;;
Брант;;;;;;Brandt;;
Бра́ншчына;;;;;;;;
Бра́слаў;;;;;;;;
Браўншва́йґ;;;;;;Braunschweig;;
Бродвэ́й;;;;;;Broadway;;
Бро́дзкі;;;;;;;;
Бро́нісь;;;;;;;;
Бронкс;;;;;;Bronx;;
Бро́нскі;;;;;;;;
Бронтэ́;;;;;;Brontë;;
Бро́ўка;;;;;;;;
Брох;;;;;;;;
Бружа́йце;;;;;;Bružaitė;;
Бру́клін;;;;;;Brooklyn;;
Бруло́ў;;;;;;;;
Бру́на;;;;;;Bruno;;
Бруно́н;;;;;;Brunon;;
Бру́саў;;;;;;;;
Брусэ́ль;;;;;;Bruxelles/Brussel;;
Брыґі́та;;;;;;;;
Брысто́ль;;;;;;Bristol;;
Брысьві́ль;;;;;;Brisville;;
Брыта́нія;;;;;;;;
Брыя́н;;;;;;Briand;;
Брэ́дбэры;;;;;;Bradbury;;
Брэ́длі;;;;;;Bradley;;
Брэ́дфард;<i>м.</i> у Вялікабрытаніі;;;;;Bradford;;
Брэ́жнеў;;;;;;Брежнев;;
Брэ́йґель;;;;;;Brueghel;;
Брэ́мэн;<i>м.</i> у Нямеччыне;;;;;Bremen;;
Брэмэрха́фэн;<i>м.</i> у Нямеччыне;;;;;Bremerhaven;;
Брэ́ндан;;;;;;Brendan;;
Брэта́нь;;;;;;;;
Брэто́н;;;;;;Breton;;
Брэ́тфус;;;;;;Bretfuss;;
Брэхт;;;;;;Brecht;;
Буанаро́ці;;;;;;;;
Буг;;;;;;;;
Бугу́льма;;;;;;;;
Будапэ́шт;<i>стал.</i> Вугоршчыны;;;;;Budapest;;
Бу́да-Кашалё́ва;;;;;;;;
Будзё́наўск;;;;;;;;
Будзяё́віцэ;;;;;Чэ́ске Будзяё́віцэ;;;
Бу́дслаў;;;-слава;;;;;
Буйло́;;;;;;;;
Буйні́цкі;;;;;;;;
Букчы́н;;;;;;;;
Була́к-Балахо́віч;;;;;;;;
Бу́лахаў;;;;;;;;
Бу́лгак;;;;;;;;
Булы́ка;;;;;;;;
Булычо́ў;;;;;;;;
Бум-Бам-Лі́т;;;;;;;;
Бунд;;;;;;;;
Бу́нін;;;;;;;;
Бура́лкін;;;;;;;;
Бура́ўкін;;;;;;;;
Бура́ція;;;;;;;;
Бу́рбіс;;;;;;;;
Бурбо́н;;;;;;Bourbon;;
Бурбу́ліс;;;;;;;;
Бурґа́скі;;;;;;;;
Бурґу́ндыя;;;;;;;;
Буркі́на-Фасо́;;;;;;;;
Буру́ндзі;;;;;;;;
Бутке́віч;;;;;;;;
Буткя́вічус;;;;;;Butkevičius;;
Бутраме́еў;;;;;;;;
Бухенва́льд;;;;;;Buchenwald;;
Буш;;;;;;Bush;;
Бушляко́ў;;;;;;;;
Буэ́нас-А́йрэс;<i>стал.</i> Арґентыны;;;;;Buenos Aires;;
Бы́дґашч;;;;;;Bydgoszcz;;
Бы́каў;;;;;;;;
бы́каўскі;;;;;;Бы́каў;;
Быко́ўскі;;;;;;;;
Бы́стрыца;;;;;;;;
Бы́хаў;;;;;;;;
Бы́цень;;;;;;;;
Бэатры́с;;;;;;Beatrice;;
Бэатры́чэ;;;;;;Beatrice;;
Бэ́ґін;;;;;;Begin;;
Бэ́йкер;;;;;;Baker;;
Бэйт-Лэхэм;;;;;;Bethlehem;;
Бэ́кан;;;;;;Bacon;;
Бэкендо́рф;;;;;;;;
Бэ́кет;;;;;;Beckett;;
Бэ́кеш;;;;;;;;
Бэ́ла;;;;;;;;
Бэлі́ні;;;;;;Bellini;;
Бэ́лфаст;;;;;;Belfast;;
Бэ́льґія;;;;;;;;
Бэльзэбу́б;;<i>кат.</i>;;Вельзяву́л;;;;
Бэ́ндэ;;;;;;;;
Бэ́ндэр;;;;;;;;
Бэнілю́кс;;;;;;;;
Бэні́та;;;;;;Benito;;
Бэнэды́кт;;;;;;;;
Бэ́нэт;;;;;;Bennet;;
Бэргельсо́н;;;;;;;;
Бэ́ргман;;;;;;;;
Бэрд;;;;;;Bird;;
Бэ́рклі;;;;;;Berkeley;;
Бэ́ркшыр;;;;;;Berkshire;;
Бэрлі́н;;;;;;Berlin;;
Бэрму́ды;;;;;;;;
Бэрна́р;;;;;;Bernard;;
Бэрна́рд;;;;;;Bernard;;
Бэрна́рдо;;;;;;Bernardo;;
Бэрнардо́ні;;;;;;Bernardoni;;
Бэрнс;;;;;;Burns;;
Бэрнэ́с;;;;;;;;
Бэро́ўз;;;;;;Barrows;;
Бэ́рсан;;;;;;;;
Бэртра́н;;;;;;Bartrand;;
Бэ́ры;;;;;;;;
Бэрэні́ка-князё́ўна;;;;;;;;
Бэтлее́м;;;;;;;;
Бэ́тсі;;;;;;;;
Бэтхо́вэн;;;;;;Beethoven;;
Бэты́ні;;;;;;Bettini;;
Бяду́ля;;;;;;;;
